molecule_identity_key,canonical_smiles,activity_pchembl,activity_class,n_records,is_conflicted,grid_col,grid_row
CHEMBL101370,NS(=O)(=O)c1cc2cc(CNCCF)sc2o1,7.92,active,1,0,23,32
CHEMBL101371,NS(=O)(=O)c1cc2cc(CNCc3ccccn3)sc2o1,8.09,active,1,0,23,30
CHEMBL101792,COCCOCCCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.85,active,1,0,24,32
CHEMBL103087,CNCc1cc2cc(S(N)(=O)=O)oc2s1,8.05,active,1,0,25,31
CHEMBL103143,COCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)oc2s1,8.29,active,1,0,23,33
CHEMBL103255,COCCOCCN(CCOC)Cc1cc2cc(S(N)(=O)=O)oc2s1,8.19,active,1,0,22,33
CHEMBL103271,CCOCCNCc1cc2cc(S(N)(=O)=O)oc2s1,8.1,active,1,0,22,32
CHEMBL103621,CCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.96,active,1,0,24,30
CHEMBL104,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1,4.52,inactive,1,0,22,11
CHEMBL104000,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)cc1,7.92,active,1,0,26,25
CHEMBL104311,NS(=O)(=O)c1ccc(SCCCO)cc1,7.7,active,1,0,24,28
CHEMBL104442,CC(=O)OCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.26,active,1,0,24,29
CHEMBL104459,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)cc1,7.62,active,1,0,26,24
CHEMBL104463,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)s1,8.22,active,1,0,28,30
CHEMBL104524,Nc1cc(S(N)(=O)=O)ccc1S(=O)(=O)CCO,7.29,active,1,0,27,24
CHEMBL104621,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)s1,8.64,active,1,0,25,29
CHEMBL104630,CC(C)CNCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,7.75,active,1,0,25,30
CHEMBL104666,CC(=O)OCCCS(=O)(=O)c1ccc(S(N)(=O)=O)s1,8.3,active,1,0,26,30
CHEMBL104754,NS(=O)(=O)c1ccc(SCCCCO)c(F)c1,8.82,active,1,0,28,27
CHEMBL104868,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)c(F)c1,8.35,active,1,0,27,25
CHEMBL104929,NS(=O)(=O)c1ccc(S(=O)(=O)CCO)c(F)c1,8.3,active,1,0,27,26
CHEMBL104961,COC(=O)c1cc(S(N)(=O)=O)ccc1S(=O)(=O)CCO,7.52,active,1,0,29,24
CHEMBL105080,NS(=O)(=O)c1cc2cc(CN3CCOCC3)sc2o1,8.25,active,1,0,26,31
CHEMBL105380,NS(=O)(=O)c1ccc(SCCCO)c(C(=O)O)c1,5.0,inactive,1,0,29,27
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,6.17,medium,1,0,29,20
CHEMBL105573,NS(=O)(=O)c1ccc(CCCO)cc1,7.19,active,1,0,26,23
CHEMBL105607,NS(=O)(=O)c1ccc(SCCCO)c(Cl)c1,8.05,active,1,0,28,29
CHEMBL105637,NS(=O)(=O)c1ccc(CCCCCO)cc1,8.1,active,1,0,25,24
CHEMBL105688,NS(=O)(=O)c1ccc(CCCO)c(F)c1,7.7,active,1,0,28,26
CHEMBL105691,Nc1cc(S(N)(=O)=O)ccc1S(=O)(=O)CCCO,7.64,active,1,0,28,24
CHEMBL105713,CC(C)CNCc1cc2cc(S(N)(=O)=O)oc2s1,8.22,active,1,0,24,31
CHEMBL105725,NS(=O)(=O)c1ccc(S(=O)(=O)CCCO)s1,8.22,active,1,0,26,29
CHEMBL105730,NS(=O)(=O)c1ccc(SCCO)c([N+](=O)[O-])c1,7.68,active,1,0,29,28
CHEMBL105731,NS(=O)(=O)c1ccc(S(=O)(=O)CCCCO)cc1,8.15,active,1,0,25,26
CHEMBL106493,COCCCNCc1cc2cc(S(N)(=O)=O)oc2s1,7.92,active,1,0,20,32
CHEMBL106683,NS(=O)(=O)c1ccc(SCCCO)s1,8.0,active,1,0,27,29
CHEMBL106848,NS(=O)(=O)c1ccc(SCCO)cc1,7.324999999999999,active,2,0,26,26
CHEMBL107266,NS(=O)(=O)c1ccc(SCCO)c(F)c1,8.05,active,1,0,27,27
