canonical_smiles,Compound,smiles,activity_pchembl,activity_class,true_class_strict3_desc,emb_000,emb_001,emb_002,emb_003,emb_004,emb_005,emb_006,emb_007,emb_008,emb_009,emb_010,emb_011,emb_012,emb_013,emb_014,emb_015,emb_016,emb_017,emb_018,emb_019,emb_020,emb_021,emb_022,emb_023,emb_024,emb_025,emb_026,emb_027,emb_028,emb_029,emb_030,emb_031,emb_032,emb_033,emb_034,emb_035,emb_036,emb_037,emb_038,emb_039,emb_040,emb_041,emb_042,emb_043,emb_044,emb_045,emb_046,emb_047,emb_048,emb_049,emb_050,emb_051,emb_052,emb_053,emb_054,emb_055,emb_056,emb_057,emb_058,emb_059,emb_060,emb_061,emb_062,emb_063,emb_064,emb_065,emb_066,emb_067,emb_068,emb_069,emb_070,emb_071,emb_072,emb_073,emb_074,emb_075,emb_076,emb_077,emb_078,emb_079,emb_080,emb_081,emb_082,emb_083,emb_084,emb_085,emb_086,emb_087,emb_088,emb_089,emb_090,emb_091,emb_092,emb_093,emb_094,emb_095,emb_096,emb_097,emb_098,emb_099,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,emb_120,emb_121,emb_122,emb_123,emb_124,emb_125,emb_126,emb_127,projection_x,projection_y,grid_x,grid_y
C#CCNc1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br,CHEMBL549757,C#CCNc1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br,6.48,medium,Medium,1.0319848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6623098,0.0,0.0,1.6132702,0.0,0.0,0.0,0.0,0.0,0.0,0.45611092,0.0,0.0,1.1680695,0.0,0.0,0.0,0.0,0.0,0.87828296,0.0,0.0,1.9881518,1.5646424,0.0,0.0,1.2448136,0.0,1.071452,0.0,0.0,0.0,0.04178887,0.0,0.0,1.4583812,0.0,0.0,0.0,0.0,0.0,0.0,1.1399994,0.0,1.7582884,0.0,0.0,0.0,0.012076758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29206884,0.0,0.0,0.0,0.0,0.0,1.2250978,0.0,0.0,0.8289876,0.0,0.0,1.7008605,0.0,1.0394427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3361708,0.0,0.0,0.0,0.0,1.6245158,1.1762131,1.4194993,0.0,0.0,0.0,0.0,1.9198297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5721772930692107,0.5858584981289788,0.5652173913043478,0.5869565217391304
C/C=C/C(=O)Oc1ccc2sc(S(N)(=O)=O)nc2c1,CHEMBL79324,C/C=C/C(=O)Oc1ccc2sc(S(N)(=O)=O)nc2c1,8.68,active,Active,1.1026952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1947227,0.0,0.0,1.9766519,0.0,0.0,0.0,0.0,0.0,0.0,0.6207201,0.0,0.0,1.5027206,0.0,0.0,0.0,0.0,0.0,1.4752727,0.0,0.0,2.2807894,1.4020748,0.0,0.0,1.7248933,0.0,1.8398165,0.0,0.0,0.0,0.05417358,0.0,0.0,1.9261023,0.0,0.0,0.0,0.0,0.0,0.0,1.6158025,0.0,2.459844,0.0,0.0,0.0,0.29767436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79559,0.0,0.0,1.4373056,0.0,0.0,2.4622073,0.0,1.7424885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5347836,0.0,0.0,0.0,0.0,1.8791274,1.1065507,1.9668982,0.0,0.0,0.0,0.0,2.3482568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7840109947005938,0.634601159558651,0.7608695652173912,0.6739130434782609
CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,CHEMBL19,CC(=O)/N=c1/sc(S(N)(=O)=O)nn1C,7.85,active,Active,1.176172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0724204,0.0,0.0,1.4238597,0.0,0.0,0.0,0.0,0.0,0.0,0.83498424,0.0,0.0,1.6402442,0.0,0.0,0.0,0.0,0.0,1.7495849,0.0,0.0,2.7489183,1.872916,0.0,0.0,1.6282393,0.0,1.9243275,0.0,0.0,0.0,0.17305768,0.0,0.0,1.85912,0.0,0.0,0.0,0.0,0.0,0.0,2.120748,0.0,2.333744,0.0,0.0,0.0,1.7256869,0.0,0.0,0.0,0.15295789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729292,0.0,0.0,1.6097851,0.0,0.0,2.66225,0.0,1.8840379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3774811,0.0,0.0,0.0,0.0,1.9140785,0.90615153,2.1766062,0.0,0.0,0.0,0.0,1.9907256,0.0,0.118858136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8614644619972063,0.8249687250919733,0.8478260869565217,0.8260869565217391
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)OC(C)(C)C,CHEMBL507085,CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)OC(C)(C)C,6.824999999999999,medium,Medium,0.6538836,0.0,0.0,0.0,0.0,0.0,0.24717069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42733088,0.0,0.0,1.570815,0.0,0.0,1.6956917,0.0,0.0,0.0,0.0,0.0,0.0,0.24585307,0.0,0.0,1.1762537,0.0,0.0,0.0,0.0,0.38082343,0.82218426,0.0,0.0,1.5367355,0.6861138,0.0,0.0,1.1349535,0.0,1.18049,0.0,0.0,0.0,0.0,0.0,0.0,1.4148654,0.0,0.0,0.0,0.0,0.0,0.20814863,0.8489699,0.0,1.6202667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0553612,0.0,0.0,1.0526499,0.0,0.0,1.6078967,0.0,1.1907347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2246184,0.0,0.0,0.0,0.0,1.1892692,0.7549459,1.3562936,0.0,0.0,0.0,0.0,1.7115035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5183276756084314,0.428765538937557,0.5,0.41304347826086957
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)c1ccccc1,CHEMBL444683,CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(=O)c1ccccc1,6.245,medium,Medium,0.56061065,0.0,0.0,0.0,0.0,0.0,0.31030256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44594458,0.0,0.0,1.5746052,0.0,0.316784,1.6974406,0.0,0.0,0.0,0.0,0.0,0.0,0.21730351,0.0,0.0,1.1921386,0.0,0.0,0.104784474,0.0,0.5020437,0.73410535,0.010143999,0.0,1.381408,0.5580851,0.0,0.0,1.1268666,0.0,1.1550182,0.0,0.045594223,0.0,0.0,0.0,0.0,1.4034153,0.0,0.0,0.0,0.0,0.0,0.45170513,0.7317927,0.0,1.5554246,0.0,0.14981748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9865616,0.0,0.0,0.93809754,0.0,0.0,1.5768965,0.0,1.1171904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30140218,1.166695,0.0,0.0,0.0,0.0,1.0844647,0.7198899,1.2436148,0.0,0.0,0.04312443,0.0,1.6921154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5155953149952134,0.39773914296963814,0.5,0.3913043478260869
CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(C)=O,CHEMBL453931,CC(=O)C(/N=N/c1cccc(-n2nc(C(=O)Nc3nnc(S(N)(=O)=O)s3)c(C(=O)c3ccccc3)c2-c2ccccc2)c1)C(C)=O,6.91,medium,Medium,0.64712894,0.0,0.0,0.0,0.0,0.0,0.20247278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4029755,0.0,0.0,1.6713789,0.0,0.0,1.7334424,0.0,0.0,0.0,0.0,0.0,0.0,0.28421634,0.0,0.0,1.278365,0.0,0.0,0.0,0.0,0.31718475,0.87599856,0.0,0.0,1.525597,0.69677913,0.0,0.0,1.2097988,0.0,1.279956,0.0,0.0,0.0,0.0,0.0,0.0,1.4903861,0.0,0.0,0.0,0.0,0.0,0.23657113,0.89789283,0.0,1.6919534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1005065,0.0,0.0,1.0514917,0.0,0.0,1.7283096,0.0,1.2473071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02260072,1.2263643,0.0,0.0,0.0,0.0,1.2001692,0.7583278,1.3918859,0.0,0.0,0.0,0.0,1.7950741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5246115893780823,0.4294149468655375,0.5217391304347826,0.41304347826086957
CC(=O)Cn1c(C)cc2c(-n3nc(C(=O)Nc4nnc(S(N)(=O)=O)s4)c(C(=O)c4ccccc4)c3-c3ccccc3)cccc21,CHEMBL443431,CC(=O)Cn1c(C)cc2c(-n3nc(C(=O)Nc4nnc(S(N)(=O)=O)s4)c(C(=O)c4ccccc4)c3-c3ccccc3)cccc21,6.75,medium,Medium,0.8449919,0.0,0.0,0.0,0.0,0.0,0.57919884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7630337,0.0,0.0,1.9639443,0.0,0.6417603,2.1408708,0.0,0.0,0.0,0.0,0.0,0.0,0.3699275,0.0,0.0,1.4802434,0.0,0.0,0.45572382,0.0,0.6600524,1.0313658,0.0,0.0,1.6093174,0.7471701,0.0,0.0,1.4857041,0.0,1.5454984,0.0,0.0,0.0,0.0,0.0,0.0,1.7435604,0.0,0.0,0.0,0.0,0.0,0.15065809,1.0021119,0.0,2.0462053,0.0,0.41361833,0.0,0.0,0.0,0.0,0.18201803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3618702,0.0,0.0,1.2280337,0.0,0.0,2.0382562,0.0,1.4820969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66760784,1.4627498,0.0,0.0,0.0,0.0,1.428128,0.98731506,1.6418511,0.0,0.0,0.0,0.0,2.2398908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5300986973026776,0.3245405321229733,0.5217391304347826,0.30434782608695654
CC(=O)NO,CHEMBL734,CC(=O)NO,4.33,inactive,Inactive,0.48987475,0.0,0.0,3.072148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13137761,0.0,0.0,0.5395673,0.91072655,0.0,0.6640101,0.0,0.0,0.0,0.42237112,0.0,0.0,0.0,0.0,0.0,0.40623075,0.0,0.0,0.0,0.0,0.48850518,0.2668455,0.0,0.0,1.4475982,0.7265092,0.0,0.0,0.14110443,0.0,0.09988494,0.0,0.0,0.0,0.0,0.0,0.0,0.62977517,0.0,0.0,0.0,1.6201408,0.0,0.0,0.7102699,0.0,0.605576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88478327,0.0,0.0,0.5641847,0.0,0.54552984,0.0,0.0,0.0,0.0,0.0,2.1241515,0.0,0.0,0.0,0.87649065,0.0,0.0,0.0,0.0,0.66468066,0.36238712,1.0627196,0.0,0.0,0.0,0.0,0.69951075,0.0,0.0,0.0,0.0,0.0,3.5555334,0.0,0.0,0.0,0.0,0.7180652482789082,0.15478858324618183,0.717391304347826,0.17391304347826086
CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)c1ccc(S(N)(=O)=O)cc1,CHEMBL5074657,CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1NC(=O)c1ccc(S(N)(=O)=O)cc1,7.44,active,Active,1.8449788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8307698,0.0,0.0,2.3041213,0.0,0.0,0.0,0.3661835,0.0,0.0034730285,0.39912093,0.0,0.0,1.7309701,0.0,0.0,0.0,0.0,0.0,1.038999,0.0,0.0,2.1918955,1.9929838,0.0,0.0,1.225498,0.0,0.8380899,0.0,0.0,0.0,0.03919225,0.0,0.0,1.9040483,0.0,0.0,0.0,0.0,0.0,0.0,1.192571,0.0,1.974615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2217329,0.0,0.0,1.247186,0.0,0.0,1.5831084,0.0,1.0067353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9136354,0.0,0.0,0.0,0.0,2.0308123,2.0325828,2.128065,0.0,0.0,0.0,0.13185933,2.5483966,0.0,0.14949769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7651417272415404,0.114727944700146,0.7608695652173912,0.10869565217391304
CC(=O)Nc1ccc2cc(S(N)(=O)=O)sc2c1,CHEMBL87444,CC(=O)Nc1ccc2cc(S(N)(=O)=O)sc2c1,8.32,active,Active,1.042675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2325177,0.0,0.0,1.9399164,0.0,0.0,0.0,0.0,0.0,0.0,0.6915877,0.0,0.0,1.556002,0.0,0.0,0.0,0.0,0.0,1.460631,0.0,0.0,2.1974072,1.3777517,0.0,0.0,1.760064,0.0,1.8938471,0.0,0.0,0.0,0.09627854,0.0,0.0,1.9364864,0.0,0.0,0.0,0.0,0.0,0.0,1.5843604,0.0,2.4568338,0.0,0.0,0.0,0.2982691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8101798,0.0,0.0,1.3745464,0.0,0.0,2.5606015,0.0,1.7468661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4834449,0.0,0.0,0.0,0.0,1.8352139,1.0563651,1.9140879,0.0,0.0,0.0,0.0,2.3580115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8063360977406905,0.6415353889986254,0.8043478260869565,0.6304347826086957
