Compound,smiles,ic50,pchembl
CHEMBL1200679,[Cl-].[Cl-].[Zn+2],1159.0,5.94
CHEMBL1076889,[NH-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+],122.0,6.91
CHEMBL4073866,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(-c2ccc(S(N)(=O)=O)cc2)cc1,290.0,6.54
CHEMBL4075710,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(S(N)(=O)=O)cc1,110.0,6.96
CHEMBL4098852,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(S(N)(=O)=O)cn1,5000.0,5.3
CHEMBL4071193,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(S(N)(=O)=O)nc1,250.0,6.6
CHEMBL4081744,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1ccc(S(N)(=O)=O)o1,250.0,6.6
CHEMBL4077445,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1cccc(-c2ccc(S(N)(=O)=O)cc2)c1,120.0,6.92
CHEMBL4078353,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1cccc(-c2cccc(S(N)(=O)=O)c2)c1,10000.0,5.0
CHEMBL4083620,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1cccc(S(N)(=O)=O)c1,300.0,6.52
CHEMBL4098239,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)c1coc(S(N)(=O)=O)c1,7.0,8.15
CHEMBL4059816,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1C(=O)Cc1ccc(S(N)(=O)=O)cc1,500.0,6.3
CHEMBL4068479,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1c1ccc(S(N)(=O)=O)cc1,198.0,6.7
CHEMBL4089618,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1Cc1ccc(S(N)(=O)=O)cc1,129.0,6.89
CHEMBL4062557,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@@H]1CCCN1S(N)(=O)=O,10000.0,5.0
CHEMBL4067116,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccc(S(N)(=O)=O)cc1,100.0,7.0
CHEMBL4085932,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)CNC(=O)c1ccc(S(N)(=O)=O)cc1,65.0,7.19
CHEMBL122708,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,56.0,7.25
CHEMBL122708,C[C@]12CC[C@@H]3c4ccc(OS(N)(=O)=O)cc4CC[C@H]3[C@@H]1CCC2=O,10.0,8.0
