additive,concentration_mM,primary_ic50_nM,primary_table_number,primary_table_page
none,0,8.9,2-5,1900-1901
DTT,0.01,68,2,1900
DTT,0.05,283,2,1900
DTT,0.10,285,2,1900
DTT,0.25,351,2,1900
DTT,1.00,362,2,1900
DTT,10,441,2,1900
MET,0.01,16.2,3,1900
MET,0.05,48.9,3,1900
MET,0.10,53.1,3,1900
MET,0.25,60.4,3,1900
MET,1.00,69.7,3,1900
MET,10,98.3,3,1900
TCP,0.01,16.2,4,1901
TCP,0.05,34.3,4,1901
TCP,0.10,47.6,4,1901
TCP,0.25,48.1,4,1901
TCP,1.00,48.3,4,1901
TCP,10,56.5,4,1901
THT,0.01,18.5,5,1901
THT,0.05,36.0,5,1901
THT,0.10,68.6,5,1901
THT,0.25,77.8,5,1901
THT,1.00,89.9,5,1901
THT,10,92.5,5,1901
