action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value,ligand_efficiency_bei,ligand_efficiency_le,ligand_efficiency_lle,ligand_efficiency_sei,ligand_efficiency,action_type_action_type,action_type_description,action_type_parent_type
,,32829,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL544127,,CHEMBL1192824,8.05,0,http://www.openphacts.org/units/Nanomolar,239313,=,1,1,=,,IC50,nM,,9.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,9E-9,21.03,0.44,5.63,7.99,,,,
,,36538,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,COc1ccc(C(=O)c2coc(S(N)(=O)=O)c2)cc1,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL340519,,CHEMBL340519,8.70,0,http://www.openphacts.org/units/Nanomolar,239342,=,1,1,=,,IC50,nM,,2.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,2E-9,30.93,0.63,7.53,8.73,,,,
,,38973,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)Cc1cc(C(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL541089,,CHEMBL1190548,8.19,0,http://www.openphacts.org/units/Nanomolar,239312,=,1,1,=,,IC50,nM,,6.4,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,6.4E-9,24.07,0.51,6.80,8.14,,,,
,,42481,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CN3CCOCC3)cc2)cs1,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL555153,,CHEMBL1195683,8.12,0,http://www.openphacts.org/units/Nanomolar,239338,=,1,1,=,,IC50,nM,,7.6,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,7.6E-9,20.17,0.44,7.06,7.60,,,,
,,42491,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)CN(C)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL539817,,CHEMBL1189958,8.30,0,http://www.openphacts.org/units/Nanomolar,239324,=,1,1,=,,IC50,nM,,5.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,5E-9,19.83,0.44,6.28,7.05,,,,
,,44937,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)CCNCc1cccc(C(=O)c2csc(S(N)(=O)=O)c2)c1.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL544355,,CHEMBL1193018,8.05,0,http://www.openphacts.org/units/Nanomolar,239343,=,1,1,=,,IC50,nM,,9.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,9E-9,21.95,0.46,5.29,9.01,,,,
,,44945,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2ccc(S(=O)(=O)c3csc(S(N)(=O)=O)c3)cc2)CC1.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL554875,,CHEMBL1195567,7.96,0,http://www.openphacts.org/units/Nanomolar,239336,=,1,1,=,,IC50,nM,,11.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,1.1E-8,19.15,0.42,6.98,7.90,,,,
,,46040,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CN1CCN(Cc2ccccc2S(=O)(=O)c2csc(S(N)(=O)=O)c2)CC1.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL559014,,CHEMBL1197022,7.64,0,http://www.openphacts.org/units/Nanomolar,239327,=,1,1,=,,IC50,nM,,23.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,2.3E-8,18.38,0.40,6.66,7.58,,,,
,,46046,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CN(C)Cc1cc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)ccc1O.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL553909,,CHEMBL1195127,8.15,0,http://www.openphacts.org/units/Nanomolar,239347,=,1,1,=,,IC50,nM,,7.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,7E-9,22.63,0.48,7.62,6.23,,,,
,,47359,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CCN(CC)Cc1cc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)ccc1O.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL545057,,CHEMBL1193618,8.05,0,http://www.openphacts.org/units/Nanomolar,239325,=,1,1,=,,IC50,nM,,9.0,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,9E-9,19.89,0.44,6.27,6.83,,,,
,,47365,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,Cc1ccc(S(=O)(=O)c2coc(S(N)(=O)=O)c2)cc1,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL123923,,CHEMBL123923,8.38,0,http://www.openphacts.org/units/Nanomolar,239348,=,1,1,=,,IC50,nM,,4.2,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,4.2E-9,27.80,0.60,7.31,7.80,,,,
,,50048,[],CHEMBL656569,Inhibition of human carbonic anhydrase II,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)CNCc1ccc(C(=O)c2csc(S(N)(=O)=O)c2)cc1.Cl,,,CHEMBL1125318,J Med Chem,1992.0,,CHEMBL544827,,CHEMBL1193424,8.32,0,http://www.openphacts.org/units/Nanomolar,239319,=,1,1,=,,IC50,nM,,4.8,CHEMBL205,Homo sapiens,Carbonic anhydrase 2,9606,,,I50,M,UO_0000065,,4.8E-9,23.60,0.49,5.95,9.32,,,,
